"Title: "
"Timeframe: 2010 - 2019"
"Location","2010__At Least 1 Full Time Worker","2010__Part Time Workers","2010__Non Workers","2010__Total","2011__At Least 1 Full Time Worker","2011__Part Time Workers","2011__Non Workers","2011__Total","2012__At Least 1 Full Time Worker","2012__Part Time Workers","2012__Non Workers","2012__Total","2013__At Least 1 Full Time Worker","2013__Part Time Workers","2013__Non Workers","2013__Total","2014__At Least 1 Full Time Worker","2014__Part Time Workers","2014__Non Workers","2014__Total","2015__At Least 1 Full Time Worker","2015__Part Time Workers","2015__Non Workers","2015__Total","2016__At Least 1 Full Time Worker","2016__Part Time Workers","2016__Non Workers","2016__Total","2017__At Least 1 Full Time Worker","2017__Part Time Workers","2017__Non Workers","2017__Total","2018__At Least 1 Full Time Worker","2018__Part Time Workers","2018__Non Workers","2018__Total","2019__At Least 1 Full Time Worker","2019__Part Time Workers","2019__Non Workers","2019__Total",Footnotes
"United States","205750600","22439000","33469100","261658700","206575400","22681000","33735600","262992000","208871300","22105300","32576600","263553200","210934000","21963500","31254000","264151600","213637900","21319200","30345200","265302300","216591300","20755900","29011800","266359000","218347000","20477300","27723900","266548300","213538400","21663000","32335600","267537000","215026600","21205300","31145300","267377300","215040700","21457900","29966300","266465000","1"
"Virginia","5545800","477500","726100","6749400","5570600","486200","743000","6799800","5655600","462200","710800","6828700","5660800","479600","725400","6865900","5691300","490700","706800","6888900","5725400","465500","700400","6891300","5749100","470500","659900","6879500","5642900","493200","758900","6895000","5666300","462900","757100","6886300","5665300","492800","694100","6852200"
"Washington","4480900","538800","742900","5762600","4568400","535000","709900","5813300","4624100","558600","663900","5846700","4700200","522800","644100","5867100","4783300","478900","653400","5915600","4905400","459300","625700","5990400","5013100","461300","587700","6062100","4914400","509000","721500","6144800","5012100","534500","678600","6225300","5036800","518400","680900","6236000"
"West Virginia","1117500","108500","282400","1508300","1088900","120200","300500","1509700","1100600","116300","283300","1500300","1100200","117500","269600","1487300","1079900","116300","274900","1471100","1080700","118000","265400","1464200","1074500","112000","260100","1446600","998100","113500","309600","1421200","1005700","108100","285700","1399600","1010200","108900","262700","1381800"
"Wisconsin","3878900","444200","461800","4784800","3876600","422800","489700","4789100","3893300","408800","472300","4774400","3925900","396600","450000","4772600","3930800","396500","427900","4755200","3999800","355100","393500","4748500","3971500","360200","392900","4724500","3862100","379400","470900","4712400","3890200","389100","427900","4707100","3895300","355500","434900","4685700"
"Wyoming","407900","31600","41000","480500","411700","34400","35900","482100","412800","30400","42900","486100","425700","28100","38100","491900","427000","30700","34100","491800","420700","26100","41000","487900","406400","36700","41200","484200","388300","37300","49300","475000","387400","33300","44800","465500","388800","33900","43200","465900"
"Puerto Rico","1774500","362600","1008200","3145200","1730300","401100","981900","3113300","1707700","393100","958200","3059000","1622400","403000","964400","2989800","1571400","379900","952400","2903600","1474700","400500","948900","2824100","1482500","402800","854300","2739600","1353000","389100","909400","2651500","1346100","345800","819000","2511000","1356000","342100","792100","2490200"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
